event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2016-01-03,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7684,35.2381,"In East Jerusalem, settlers rampaged through the Silwan neighbourhood early today, setting alight eight cars belonging to Arabs."
2016-01-18,Settlers (Israel),,Civilians (Palestine),,1.0,Political militia-Civilians,West Bank,Salfit,32.0837,35.1808,"On 18 January 2016, an Israeli settler ran over 2 Palestinians near Salfit city, 1 Palestinian was killed and another injured."
2016-01-18,Settlers (Israel),,Civilians (Palestine),,1.0,Political militia-Civilians,West Bank,Salfit,32.1083,35.051,"On Monday an Israeli settler in a car allegedly intentionally ran over two Palestinian youths riding on a motorbike near Masha village in Salfeet, killing one and injuring the other."
2016-01-19,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1522,35.2567,A group of Israeli settlers early Tuesday attacked a number of Palestinian vehicles at the Hawara military checkpoint south of the West Bank city of Nablus.
2016-02-02,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5283,35.1189,Israeli settlers assaulted a Palestinian young man near Kiryat Arbaa. The settlers were reportedly accompanied by soldiers who failed to intervene as the young man was severely beaten. He was later transferred to a hospital.
2016-02-09,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Hebron,31.4459,35.0944,"On 9 February 2016, Israeli settlers physically assaulted and injured a Palestinian shepherd in Masafer Yatta while he was grazing sheep."
2016-02-10,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Qalqilya,32.175,35.0575,"On 10 February 2016, an Israeli settler threw an ax through the windshield of a Palestinian vehicle on the road between Azzun and Karnie Shomron."
2016-02-23,Settlers (Israel),,Civilians (Palestine),Women (Palestine),1.0,Political militia-Civilians,West Bank,Jericho,31.8667,35.45,"On 23 February 2016, an Israeli settler ran over 2 Palestinians, a mother and her daughter, near Jericho city, killing the mother and severely injuring the daughter."
2016-03-03,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1784,35.2157,Dozens of Israeli settlers from Yitzhar settlement raided the village of Asira al Qibliya smashing the windshield of the car before Israeli forces came to evacuate the area on Mar 3. No injuries were reported among the passengers of the vehicle.
2016-03-09,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Salfit,32.109,35.1059,"An Israeli settler stabbed a Palestinian man in Barqan settlement east of Salfit city, injuring the Palestinian man on Mar 9."
2016-03-10,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Bethlehem,31.6365,35.2145,Israeli settlers on March 10 threw stones and spray painted hateful slogans and death threats on the walls in the village of Shushahla south of Bethlehem near Tuqu. Settlers also set fire to a house in the village. Not clear if anyone was in the house at the time.
2016-04-04,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.2211,35.2544,"Monday 4th of April 2016, Israeli settlers hurled stones at Palestinians' vehicles traveling on the Ramallah-Nablus main road, breaking the windshield of one vehicle and disturbing families. Neither injuries nor fatalities were reported."
2016-04-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5301,35.133,"On 6 April 2016, an Israeli settler ran over a Palestinian civilian in the Jabal Jalis area of Southern Hebron, West Bank. The victim suffered moderate injuries in the attack."
2016-04-12,Military Forces of Israel (2009-2021),Settlers (Israel),Civilians (Palestine),,0.0,External/Other forces-Civilians,West Bank,Al Quds,31.7767,35.2342,"Tuesday 12th of April 2016, an Isreali settler escorted by Israeli forces assaulted a child in Sahleha neighborhood, in the old city of Al Quds."
2016-04-13,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Al Quds,31.7834,35.2339,"Wednesday 13th of April 2016, a group of Israeli settlers attacked a Palestinian bus driver near the central bus station, West of Jerusalem, causing the driver various injuries and bruises throughout his body."
2016-04-21,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5294,35.0938,"On 21 April 2016, a Palestinian teen was run over by an Israeli settler near the Ibrihimi Mosque in Hebron, West Bank. The perpetrator was not identified and the victim was treated for moderate injuries."
2016-04-22,Rioters (Palestine),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Qalqilya,32.1897,34.9706,"Friday 22nd of April 2016, Israeli settlers threw stones at a Palestinian bus, shattering the bus's window, and causing panic among children who were riding the bus near Qalqiliya. Neither injuries nor fatalities were reported."
